Match Number,Round Number,Date,Location,Home Team,Away Team,Result
241,27,30/03/2025 15:30,Signal Iduna Park,Dortmund,1. FSV Mainz 05,3 - 1
248,28,04/04/2025 18:30,WWK Arena,FC Augsburg,Bayern München,1 - 3
245,28,05/04/2025 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,Sttuttgart,0 - 4
247,28,05/04/2025 13:30,Mewa Arena,1. FSV Mainz 05,Holstein Kiel,1 - 1
249,28,05/04/2025 13:30,Europa-Park Stadion,SC Freiburg,Dortmund,1 - 4
251,28,05/04/2025 13:30,Voith-Arena,1. Heidenheim,Leverkusen,0 - 1
252,28,05/04/2025 13:30,Red Bull Arena,Leipzig,Hoffenheim,3 - 1
250,28,05/04/2025 16:30,Weser-Stadion,SV Werder Bremen,Frankfurt,2 - 0
244,28,06/04/2025 13:30,Millerntor-Stadion,FC St. Pauli,Borussia Mönchengladbach,1 - 1
246,28,06/04/2025 15:30,An der Alten Försterei,1. FC Union Berlin,VfL Wolfsburg,1 - 0
256,29,11/04/2025 18:30,Volkswagen Arena,VfL Wolfsburg,Leipzig,2 - 3
253,29,12/04/2025 13:30,Holstein-Stadion,Holstein Kiel,FC St. Pauli,1 - 2
254,29,12/04/2025 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,FC Augsburg,1 - 2
255,29,12/04/2025 13:30,Borussia-Park,Borussia Mönchengladbach,SC Freiburg,1 - 2
257,29,12/04/2025 13:30,PreZero Arena,Hoffenheim,1. FSV Mainz 05,2 - 0
261,29,12/04/2025 13:30,BayArena,Leverkusen,1. FC Union Berlin,0 - 0
259,29,12/04/2025 16:30,Allianz Arena,Bayern München,Dortmund,2 - 2
260,29,13/04/2025 13:30,MHPArena,Sttuttgart,SV Werder Bremen,1 - 2
258,29,13/04/2025 15:30,Deutsche Bank Park,Frankfurt,1. Heidenheim,3 - 0
264,30,19/04/2025 13:30,Mewa Arena,1. FSV Mainz 05,VfL Wolfsburg,
266,30,19/04/2025 13:30,Europa-Park Stadion,SC Freiburg,Hoffenheim,
267,30,19/04/2025 13:30,Weser-Stadion,SV Werder Bremen,VfL Bochum 1848,
268,30,19/04/2025 13:30,Voith-Arena,1. Heidenheim,Bayern München,
270,30,19/04/2025 13:30,Red Bull Arena,Leipzig,Holstein Kiel,
263,30,19/04/2025 16:30,An der Alten Försterei,1. FC Union Berlin,Sttuttgart,
265,30,20/04/2025 13:30,WWK Arena,FC Augsburg,Frankfurt,
269,30,20/04/2025 15:30,Signal Iduna Park,Dortmund,Borussia Mönchengladbach,
262,30,20/04/2025 17:30,Millerntor-Stadion,FC St. Pauli,Leverkusen,
278,31,25/04/2025 18:30,MHPArena,Sttuttgart,1. Heidenheim,
271,31,26/04/2025 13:30,Holstein-Stadion,Holstein Kiel,Borussia Mönchengladbach,
273,31,26/04/2025 13:30,Volkswagen Arena,VfL Wolfsburg,SC Freiburg,
275,31,26/04/2025 13:30,PreZero Arena,Hoffenheim,Dortmund,
277,31,26/04/2025 13:30,Allianz Arena,Bayern München,1. FSV Mainz 05,
279,31,26/04/2025 13:30,BayArena,Leverkusen,FC Augsburg,
276,31,26/04/2025 16:30,Deutsche Bank Park,Frankfurt,Leipzig,
272,31,27/04/2025 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FC Union Berlin,
274,31,27/04/2025 15:30,Weser-Stadion,SV Werder Bremen,FC St. Pauli,
286,32,02/05/2025 18:30,Voith-Arena,1. Heidenheim,VfL Bochum 1848,
280,32,03/05/2025 13:30,Millerntor-Stadion,FC St. Pauli,Sttuttgart,
281,32,03/05/2025 13:30,An der Alten Försterei,1. FC Union Berlin,SV Werder Bremen,
282,32,03/05/2025 13:30,Borussia-Park,Borussia Mönchengladbach,Hoffenheim,
288,32,03/05/2025 13:30,Red Bull Arena,Leipzig,Bayern München,
287,32,03/05/2025 16:30,Signal Iduna Park,Dortmund,VfL Wolfsburg,
284,32,04/05/2025 13:30,WWK Arena,FC Augsburg,Holstein Kiel,
285,32,04/05/2025 15:30,Europa-Park Stadion,SC Freiburg,Leverkusen,
283,32,04/05/2025 17:30,Mewa Arena,1. FSV Mainz 05,Frankfurt,
292,33,09/05/2025 18:30,Volkswagen Arena,VfL Wolfsburg,Hoffenheim,
289,33,10/05/2025 13:30,Holstein-Stadion,Holstein Kiel,SC Freiburg,
290,33,10/05/2025 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FSV Mainz 05,
291,33,10/05/2025 13:30,An der Alten Försterei,1. FC Union Berlin,1. Heidenheim,
293,33,10/05/2025 13:30,Weser-Stadion,SV Werder Bremen,Leipzig,
295,33,10/05/2025 16:30,Allianz Arena,Bayern München,Borussia Mönchengladbach,
297,33,11/05/2025 13:30,BayArena,Leverkusen,Dortmund,
294,33,11/05/2025 15:30,Deutsche Bank Park,Frankfurt,FC St. Pauli,
296,33,11/05/2025 17:30,MHPArena,Sttuttgart,FC Augsburg,
298,34,17/05/2025 13:30,Millerntor-Stadion,FC St. Pauli,VfL Bochum 1848,
299,34,17/05/2025 13:30,Borussia-Park,Borussia Mönchengladbach,VfL Wolfsburg,
300,34,17/05/2025 13:30,Mewa Arena,1. FSV Mainz 05,Leverkusen,
301,34,17/05/2025 13:30,WWK Arena,FC Augsburg,1. FC Union Berlin,
302,34,17/05/2025 13:30,Europa-Park Stadion,SC Freiburg,Frankfurt,
303,34,17/05/2025 13:30,Voith-Arena,1. Heidenheim,SV Werder Bremen,
304,34,17/05/2025 13:30,PreZero Arena,Hoffenheim,Bayern München,
305,34,17/05/2025 13:30,Signal Iduna Park,Dortmund,Holstein Kiel,
306,34,17/05/2025 13:30,Red Bull Arena,Leipzig,Sttuttgart,
