Match Number,Round Number,Date,Location,Home Team,Away Team,Result
284,32,20/04/2025 16:00,Gürsel Aksel Stadium,Göztepe,Besiktas,
285,32,20/04/2025 16:00,Mersin Stadium,Hatayspor,Konyaspor,
286,32,20/04/2025 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Gaziantep,
287,32,20/04/2025 16:00,Alanya Oba Stadium,Alanyaspor,Samsunspor,
288,32,20/04/2025 16:00,Rams Park,Galatasaray,Bodrum,
289,33,27/04/2025 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Adana Demirspor,
290,33,27/04/2025 16:00,Kalyon Stadium,Gaziantep,Fenerbahçe,
291,33,27/04/2025 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Çaykur Rizespor,
292,33,27/04/2025 16:00,Besiktas Park,Besiktas,Hatayspor,
293,33,27/04/2025 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Galatasaray,
294,33,27/04/2025 16:00,Papara Park,Trabzonspor,Alanyaspor,
295,33,27/04/2025 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Antalyaspor,
296,33,27/04/2025 16:00,Bodrum District Stadium,Bodrum,Samsunspor,
297,33,27/04/2025 16:00,Gürsel Aksel Stadium,Göztepe,Istanbul Basaksehir,
298,34,04/05/2025 16:00,Rams Park,Galatasaray,Sivasspor,
299,34,04/05/2025 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,
300,34,04/05/2025 16:00,Alanya Oba Stadium,Alanyaspor,Kayserispor,
301,34,04/05/2025 16:00,Samsun 19 Mayis Stadium,Samsunspor,Eyüpspor,
302,34,04/05/2025 16:00,Ülker Stadium,Fenerbahçe,Besiktas,
303,34,04/05/2025 16:00,Corendon Airlines Park,Antalyaspor,Konyaspor,
304,34,04/05/2025 16:00,Rize City Stadium,Çaykur Rizespor,Gaziantep,
305,34,04/05/2025 16:00,New Adana Stadium,Adana Demirspor,Göztepe,
306,34,04/05/2025 16:00,Mersin Stadium,Hatayspor,Istanbul Basaksehir,
307,35,11/05/2025 16:00,Besiktas Park,Besiktas,Adana Demirspor,
308,35,11/05/2025 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahçe,
309,35,11/05/2025 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Çaykur Rizespor,
310,35,11/05/2025 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Kasimpasa,
311,35,11/05/2025 16:00,Papara Park,Trabzonspor,Galatasaray,
312,35,11/05/2025 16:00,Kalyon Stadium,Gaziantep,Alanyaspor,
313,35,11/05/2025 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Antalyaspor,
314,35,11/05/2025 16:00,Gürsel Aksel Stadium,Göztepe,Hatayspor,
315,35,11/05/2025 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Bodrum,
316,36,18/05/2025 16:00,Samsun 19 Mayis Stadium,Samsunspor,Sivasspor,
317,36,18/05/2025 16:00,Bodrum District Stadium,Bodrum,Trabzonspor,
318,36,18/05/2025 16:00,Rams Park,Galatasaray,Kayserispor,
319,36,18/05/2025 16:00,Ülker Stadium,Fenerbahçe,Eyüpspor,
320,36,18/05/2025 16:00,Alanya Oba Stadium,Alanyaspor,Besiktas,
321,36,18/05/2025 16:00,New Adana Stadium,Adana Demirspor,Hatayspor,
322,36,18/05/2025 16:00,Corendon Airlines Park,Antalyaspor,Gaziantep,
323,36,18/05/2025 16:00,Rize City Stadium,Çaykur Rizespor,Göztepe,
324,36,18/05/2025 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Istanbul Basaksehir,
325,37,25/05/2025 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Adana Demirspor,
326,37,25/05/2025 16:00,Mersin Stadium,Hatayspor,Fenerbahçe,
327,37,25/05/2025 16:00,Besiktas Park,Besiktas,Çaykur Rizespor,
328,37,25/05/2025 16:00,Kalyon Stadium,Gaziantep,Kasimpasa,
329,37,25/05/2025 16:00,Gürsel Aksel Stadium,Göztepe,Galatasaray,
330,37,25/05/2025 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Alanyaspor,
331,37,25/05/2025 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Antalyaspor,
332,37,25/05/2025 16:00,Papara Park,Trabzonspor,Samsunspor,
333,37,25/05/2025 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Bodrum,
334,38,01/06/2025 16:00,Alanya Oba Stadium,Alanyaspor,Sivasspor,
335,38,01/06/2025 16:00,Corendon Airlines Park,Antalyaspor,Trabzonspor,
336,38,01/06/2025 16:00,Samsun 19 Mayis Stadium,Samsunspor,Kayserispor,
337,38,01/06/2025 16:00,Rize City Stadium,Çaykur Rizespor,Hatayspor,
338,38,01/06/2025 16:00,Bodrum District Stadium,Bodrum,Besiktas,
339,38,01/06/2025 16:00,Ülker Stadium,Fenerbahçe,Konyaspor,
340,38,01/06/2025 16:00,New Adana Stadium,Adana Demirspor,Gaziantep,
341,38,01/06/2025 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Göztepe,
342,38,01/06/2025 16:00,Rams Park,Galatasaray,Istanbul Basaksehir,

