Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,01/04/2025 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Iskenderun,3 - 0
2,1,02/04/2025 16;00,Papara Park,Trabzonspor,Bodrum,3 - 2
3,1,02/04/2025 18:00,Ülker Stadium,Fenerbahçe,Galatasaray,1 - 2
4,1,03/04/2025 16:00,Besiktas Park,Besiktas,Göztepe,1 - 3
