Match Number,Round Number,Date,Location,Home Team,Away Team,Result
217,25,09/03/2025 14:30,Goffertstadion,N.E.C. Nijmegen,Go Ahead Eagles,2 - 3
223,25,09/03/2025 14:30,MAC³PARK Stadion,PEC Zwolle,Ajax,0 - 1
219,25,09/03/2025 16:45,De Grolsch Veste,FC Twente,Almere City FC,1 - 0
224,25,01/04/2025 20:00,AFAS Stadion,AZ,RKC Waalwijk,2 - 2
225,25,02/04/2025 20:00,De Kuip,Feyenoord,FC Groningen,4 - 1
232,26,14/03/2025 20:00,Yanmar Stadion,Almere City FC,NAC Breda,1 - 1
228,26,15/03/2025 16:30,Stadion Galgenwaard,FC Utrecht,N.E.C. Nijmegen,0 - 1
233,26,15/03/2025 18:45,Het Kasteel,Sparta Rotterdam,PEC Zwolle,1 - 1
234,26,15/03/2025 20:00,Mandemakers Stadion,RKC Waalwijk,PSV,0 - 3
226,26,15/03/2025 21:00,Abe Lenstra Stadion,sc Heerenveen,Heracles Almelo,1 - 1
229,26,16/03/2025 12:15,De Adelaarshorst,Go Ahead Eagles,Willem II,1 - 0
230,26,16/03/2025 14:30,De Grolsch Veste,FC Twente,Feyenoord,2 - 6
231,26,16/03/2025 14:30,Euroborg,FC Groningen,Fortuna Sittard,1 - 0
227,26,16/03/2025 16:45,Johan Cruyff Arena,Ajax,AZ,2 - 2
236,27,29/03/2025 16:30,Rat Verlegh Stadion,NAC Breda,FC Groningen,1 - 1
235,27,29/03/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,Sparta Rotterdam,0 - 3
237,27,29/03/2025 18:45,Koning Willem II Stadion,Willem II,Almere City FC,0 - 2
241,27,29/03/2025 21:00,MAC³PARK Stadion,PEC Zwolle,RKC Waalwijk,2 - 0
243,27,29/03/2025 21:00,Goffertstadion,N.E.C. Nijmegen,AZ,3 - 3
240,27,30/03/2025 12:15,Stadion Galgenwaard,FC Utrecht,sc Heerenveen,2 - 0
239,27,30/03/2025 14:30,Erve Asito,Heracles Almelo,FC Twente,2 - 1
242,27,30/03/2025 14:30,Philips Stadion,PSV,Ajax,0 - 2
238,27,30/03/2025 16:45,De Kuip,Feyenoord,Go Ahead Eagles,3 - 2
244,28,04/04/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,Willem II,3 - 1
251,28,05/04/2025 16:30,AFAS Stadion,AZ,Feyenoord,0 - 1
249,28,05/04/2025 18:45,De Grolsch Veste,FC Twente,Fortuna Sittard,1 - 1
247,28,05/04/2025 20:00,Euroborg,FC Groningen,PSV,1 - 3
246,28,05/04/2025 21:00,Yanmar Stadion,Almere City FC,PEC Zwolle,2 - 2
245,28,06/04/2025 12:15,Mandemakers Stadion,RKC Waalwijk,Heracles Almelo,0 - 0
248,28,06/04/2025 14:30,De Adelaarshorst,Go Ahead Eagles,FC Utrecht,2 - 2
250,28,06/04/2025 14:30,Het Kasteel,Sparta Rotterdam,N.E.C. Nijmegen,2 - 0
252,28,06/04/2025 16:45,Johan Cruyff Arena,Ajax,NAC Breda,3 - 1
256,29,11/04/2025 20:00,Goffertstadion,N.E.C. Nijmegen,RKC Waalwijk,
261,29,12/04/2025 16:30,Fortuna Sittard Stadion,Fortuna Sittard,Feyenoord,
258,29,12/04/2025 18:45,Het Kasteel,Sparta Rotterdam,sc Heerenveen,
259,29,12/04/2025 20:00,Philips Stadion,PSV,Almere City FC,
254,29,12/04/2025 21:00,Rat Verlegh Stadion,NAC Breda,Go Ahead Eagles,
260,29,13/04/2025 12:15,Stadion Galgenwaard,FC Utrecht,FC Groningen,
255,29,13/04/2025 14:30,Erve Asito,Heracles Almelo,AZ,
257,29,13/04/2025 14:30,MAC³PARK Stadion,PEC Zwolle,FC Twente,
253,29,13/04/2025 16:45,Koning Willem II Stadion,Willem II,Ajax,
263,30,23/04/2025 20:00,Euroborg,FC Groningen,Heracles Almelo,
266,30,24/04/2025 18:45,AFAS Stadion,AZ,NAC Breda,
269,30,24/04/2025 21:00,De Grolsch Veste,FC Twente,PSV,
268,30,25/04/2025 18:45,Mandemakers Stadion,RKC Waalwijk,FC Utrecht,
267,30,25/04/2025 21:00,De Kuip,Feyenoord,PEC Zwolle,
265,30,27/04/2025 12:15,Fortuna Sittard Stadion,Fortuna Sittard,Willem II,
262,30,27/04/2025 14:30,Johan Cruyff Arena,Ajax,Sparta Rotterdam,
270,30,27/04/2025 14:30,Abe Lenstra Stadion,sc Heerenveen,N.E.C. Nijmegen,
264,30,27/04/2025 16:45,Yanmar Stadion,Almere City FC,Go Ahead Eagles,
274,31,19/04/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,Almere City FC,
277,31,20/04/2025 12:15,Stadion Galgenwaard,FC Utrecht,Ajax,
275,31,03/05/2025 16:30,Goffertstadion,N.E.C. Nijmegen,Willem II,
272,31,03/05/2025 18:45,Erve Asito,Heracles Almelo,Feyenoord,
278,31,03/05/2025 20:00,Euroborg,FC Groningen,RKC Waalwijk,
273,31,03/05/2025 21:00,Philips Stadion,PSV,Fortuna Sittard,
279,31,04/05/2025 12:15,Rat Verlegh Stadion,NAC Breda,PEC Zwolle,
271,31,04/05/2025 14:30,De Adelaarshorst,Go Ahead Eagles,AZ,
276,31,04/05/2025 14:30,Het Kasteel,Sparta Rotterdam,FC Twente,
282,32,09/05/2025 20:00,Koning Willem II Stadion,Willem II,Heracles Almelo,
283,32,10/05/2025 16:30,Mandemakers Stadion,RKC Waalwijk,sc Heerenveen,
284,32,10/05/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,NAC Breda,
285,32,10/05/2025 18:45,De Grolsch Veste,FC Twente,FC Utrecht,
288,32,10/05/2025 21:00,Yanmar Stadion,Almere City FC,Sparta Rotterdam,
280,32,11/05/2025 12:15,MAC³PARK Stadion,PEC Zwolle,Go Ahead Eagles,
281,32,11/05/2025 14:30,De Kuip,Feyenoord,PSV,
286,32,11/05/2025 16:45,Johan Cruyff Arena,Ajax,N.E.C. Nijmegen,
287,32,11/05/2025 16:45,AFAS Stadion,AZ,FC Groningen,
289,33,14/05/2025 20:00,Yanmar Stadion,Almere City FC,Fortuna Sittard,
290,33,14/05/2025 20:00,De Grolsch Veste,FC Twente,AZ,
291,33,14/05/2025 20:00,Goffertstadion,N.E.C. Nijmegen,NAC Breda,
292,33,14/05/2025 20:00,Euroborg,FC Groningen,Ajax,
293,33,14/05/2025 20:00,Philips Stadion,PSV,Heracles Almelo,
294,33,14/05/2025 20:00,De Kuip,Feyenoord,RKC Waalwijk,
295,33,14/05/2025 20:00,Koning Willem II Stadion,Willem II,PEC Zwolle,
296,33,14/05/2025 20:00,Stadion Galgenwaard,FC Utrecht,Sparta Rotterdam,
297,33,14/05/2025 20:00,De Adelaarshorst,Go Ahead Eagles,sc Heerenveen,
298,34,18/05/2025 14:30,MAC³PARK Stadion,PEC Zwolle,FC Groningen,
299,34,18/05/2025 14:30,Fortuna Sittard Stadion,Fortuna Sittard,FC Utrecht,
300,34,18/05/2025 14:30,Johan Cruyff Arena,Ajax,FC Twente,
301,34,18/05/2025 14:30,Het Kasteel,Sparta Rotterdam,PSV,
302,34,18/05/2025 14:30,Rat Verlegh Stadion,NAC Breda,Willem II,
303,34,18/05/2025 14:30,AFAS Stadion,AZ,Almere City FC,
304,34,18/05/2025 14:30,Erve Asito,Heracles Almelo,N.E.C. Nijmegen,
305,34,18/05/2025 14:30,Mandemakers Stadion,RKC Waalwijk,Go Ahead Eagles,
306,34,18/05/2025 14:30,Abe Lenstra Stadion,sc Heerenveen,Feyenoord,
