Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
16,Kasimpasa vs Eyüpspor,Kasimpasa,Eyüpspor,2.0,0.0,1503.1162603008625,1619.2976683730406,1550.2105688812135,1572.2033597926895
16,Bodrum vs Sivasspor,Bodrum,Sivasspor,2.0,0.0,1363.9390528713395,1444.8751497334229,1406.472363326279,1402.3418392784833
16,Çaykur Rizespor vs Konyaspor,Çaykur Rizespor,Konyaspor,1.0,1.0,1509.2314455013347,1440.095253850478,1490.599506667009,1458.7271926848036
16,Alanyaspor vs Gaziantep,Alanyaspor,Gaziantep,3.0,0.0,1425.6020808266017,1517.888424880074,1476.9366837599102,1466.5538219467653
16,Hatayspor vs Göztepe,Hatayspor,Göztepe,1.0,1.0,1372.555451597614,1563.4296467128058,1383.1051898857177,1552.879908424702
16,Antalyaspor vs Kayserispor,Antalyaspor,Kayserispor,2.0,0.0,1470.3004793303987,1451.1988108936412,1500.451525797973,1421.0477644260668
16,Fenerbahçe vs Istanbul Basaksehir,Fenerbahçe,Istanbul Basaksehir,3.0,1.0,1718.8697761589235,1542.9825419987249,1734.1379620668602,1527.7143560907882
16,Adana Demirspor vs Besiktas,Adana Demirspor,Besiktas,2.0,1.0,1218.5957204075546,1556.331395898185,1266.4241429173414,1508.5029733883982
16,Galatasaray vs Trabzonspor,Galatasaray,Trabzonspor,4.0,3.0,1748.6419530453172,1447.340781138798,1754.0594709034197,1441.9232632806957
17,Eyüpspor vs Fenerbahçe,Eyüpspor,Fenerbahçe,1.0,1.0,1572.2033597926895,1734.1379620668602,1579.479759842937,1726.8615620166127
17,Sivasspor vs Samsunspor,Sivasspor,Samsunspor,0.0,0.0,1402.3418392784833,1585.7081064808826,1412.0539897026981,1575.9959560566679
17,Besiktas vs Alanyaspor,Besiktas,Alanyaspor,1.0,1.0,1508.5029733883982,1476.9366837599102,1493.5886634820554,1491.850993666253
17,Gaziantep vs Antalyaspor,Gaziantep,Antalyaspor,2.0,0.0,1466.5538219467653,1500.451525797973,1503.094055391434,1463.9112923533044
17,Kayserispor vs Galatasaray,Kayserispor,Galatasaray,1.0,5.0,1421.0477644260668,1754.0594709034197,1397.7273534209155,1777.379881908571
17,Göztepe vs Çaykur Rizespor,Göztepe,Çaykur Rizespor,3.0,0.0,1552.879908424702,1490.599506667009,1582.4984432076124,1460.9809718840988
17,Trabzonspor vs Bodrum,Trabzonspor,Bodrum,1.0,0.0,1441.9232632806957,1406.472363326279,1460.7861025368998,1387.609524070075
17,Hatayspor vs Adana Demirspor,Hatayspor,Adana Demirspor,1.0,3.0,1383.1051898857177,1266.4241429173414,1313.190042892655,1336.3392899104042
17,Istanbul Basaksehir vs Kasimpasa,Istanbul Basaksehir,Kasimpasa,2.0,2.0,1527.7143560907882,1550.2105688812135,1518.6622154531372,1559.2627095188645
18,Çaykur Rizespor vs Besiktas,Çaykur Rizespor,Besiktas,1.0,1.0,1460.9809718840988,1493.5886634820554,1453.078543234095,1501.4910921320593
